make,model,year,complaintCount,riskFactor
Buick,Encore,2019,77,0.95
Buick,Encore,2020,20,0.9
Buick,Encore,2021,5,0.9
Buick,Encore,2022,5,0.9
Buick,Envision,2016,24,0.9
Buick,Envision,2017,96,0.95
Buick,Envision,2018,15,0.9
Buick,Envision,2019,15,0.9
Buick,Envision,2020,19,0.9
Buick,Envision,2021,16,0.9
Buick,Envision,2022,33,0.9
Buick,Envision,2023,23,0.9
Buick,Envision,2024,5,0.9
Cadillac,Escalade,2010,44,0.9
Cadillac,Escalade,2011,51,0.95
Cadillac,Escalade,2012,32,0.9
Cadillac,Escalade,2013,20,0.9
Cadillac,Escalade,2014,29,0.9
Cadillac,Escalade,2015,115,0.95
Cadillac,Escalade,2016,92,0.95
Cadillac,Escalade,2017,56,0.95
Cadillac,Escalade,2018,11,0.9
Cadillac,Escalade,2019,8,0.9
Cadillac,Escalade,2020,6,0.9
Cadillac,Escalade,2021,7,0.9
Cadillac,Escalade,2022,17,0.9
Cadillac,Escalade,2023,28,0.9
Cadillac,Escalade,2024,6,0.9
Cadillac,XT4,2019,18,0.9
Cadillac,XT4,2020,12,0.9
Cadillac,XT4,2021,7,0.9
Cadillac,XT4,2022,1,0.9
Cadillac,XT4,2023,4,0.9
Cadillac,XT4,2024,9,0.9
Cadillac,XT5,2017,157,1.0
Cadillac,XT5,2018,67,0.95
Cadillac,XT5,2019,34,0.9
Cadillac,XT5,2020,18,0.9
Cadillac,XT5,2021,10,0.9
Cadillac,XT5,2022,6,0.9
Cadillac,XT5,2023,15,0.9
Cadillac,XT5,2024,12,0.9
Chevrolet,Blazer,2019,164,1.0
Chevrolet,Blazer,2020,128,0.95
Chevrolet,Blazer,2021,61,0.95
Chevrolet,Blazer,2022,20,0.9
Chevrolet,Blazer,2023,21,0.9
Chevrolet,Blazer,2024,10,0.9
Chevrolet,Colorado,2010,48,0.9
Chevrolet,Colorado,2011,53,0.95
Chevrolet,Colorado,2012,58,0.95
Chevrolet,Colorado,2013,2,0.9
Chevrolet,Colorado,2014,1,0.9
Chevrolet,Colorado,2015,582,1.05
Chevrolet,Colorado,2016,785,1.1
Chevrolet,Colorado,2017,247,1.0
Chevrolet,Colorado,2018,203,1.0
Chevrolet,Colorado,2019,160,1.0
Chevrolet,Colorado,2020,67,0.95
Chevrolet,Colorado,2021,54,0.95
Chevrolet,Colorado,2022,33,0.9
Chevrolet,Colorado,2023,111,0.95
Chevrolet,Colorado,2024,51,0.95
Chevrolet,Equinox,2010,1108,1.15
Chevrolet,Equinox,2011,1108,1.15
Chevrolet,Equinox,2012,916,1.1
Chevrolet,Equinox,2013,950,1.1
Chevrolet,Equinox,2014,646,1.1
Chevrolet,Equinox,2015,782,1.1
Chevrolet,Equinox,2016,416,1.05
Chevrolet,Equinox,2017,260,1.0
Chevrolet,Equinox,2018,456,1.05
Chevrolet,Equinox,2019,315,1.05
Chevrolet,Equinox,2020,296,1.0
Chevrolet,Equinox,2021,72,0.95
Chevrolet,Equinox,2022,128,0.95
Chevrolet,Equinox,2023,77,0.95
Chevrolet,Equinox,2024,17,0.9
Chevrolet,Malibu,2010,2167,1.2
Chevrolet,Malibu,2011,1480,1.15
Chevrolet,Malibu,2012,1430,1.15
Chevrolet,Malibu,2013,1306,1.15
Chevrolet,Malibu,2014,521,1.05
Chevrolet,Malibu,2015,367,1.05
Chevrolet,Malibu,2016,1328,1.15
Chevrolet,Malibu,2017,1056,1.15
Chevrolet,Malibu,2018,1031,1.15
Chevrolet,Malibu,2019,223,1.0
Chevrolet,Malibu,2020,208,1.0
Chevrolet,Malibu,2021,55,0.95
Chevrolet,Malibu,2022,48,0.9
Chevrolet,Malibu,2023,24,0.9
Chevrolet,Malibu,2024,8,0.9
Chevrolet,Silverado,2010,89,0.95
