make,model,year,complaintCount,riskFactor
Jeep,Cherokee,2014,3747,1.2
Jeep,Cherokee,2015,2506,1.2
Jeep,Cherokee,2016,1833,1.15
Jeep,Cherokee,2017,1606,1.15
Jeep,Cherokee,2018,810,1.1
Jeep,Cherokee,2019,1539,1.15
Jeep,Cherokee,2020,164,1.0
Jeep,Cherokee,2021,99,0.95
Jeep,Cherokee,2022,42,0.9
Jeep,Cherokee,2023,2,0.9
Jeep,Compass,2010,108,0.95
Jeep,Compass,2011,277,1.0
Jeep,Compass,2012,254,1.0
Jeep,Compass,2013,120,0.95
Jeep,Compass,2014,492,1.05
Jeep,Compass,2015,164,1.0
Jeep,Compass,2016,397,1.05
Jeep,Compass,2017,350,1.05
Jeep,Compass,2018,1448,1.15
Jeep,Compass,2019,464,1.05
Jeep,Compass,2020,185,1.0
Jeep,Compass,2021,79,0.95
Jeep,Compass,2022,313,1.05
Jeep,Compass,2023,48,0.9
Jeep,Compass,2024,6,0.9
Jeep,Gladiator,2020,423,1.05
Jeep,Gladiator,2021,346,1.05
Jeep,Gladiator,2022,94,0.95
Jeep,Gladiator,2023,39,0.9
Jeep,Grand Cherokee,2010,171,1.0
Jeep,Grand Cherokee,2011,2395,1.2
Jeep,Grand Cherokee,2012,2245,1.2
Jeep,Grand Cherokee,2013,1066,1.15
Jeep,Grand Cherokee,2014,3240,1.2
Jeep,Grand Cherokee,2015,1589,1.15
Jeep,Grand Cherokee,2016,400,1.05
Jeep,Grand Cherokee,2017,456,1.05
Jeep,Grand Cherokee,2018,994,1.1
Jeep,Grand Cherokee,2019,303,1.05
Jeep,Grand Cherokee,2020,207,1.0
Jeep,Grand Cherokee,2021,534,1.05
Jeep,Grand Cherokee,2022,97,0.95
Jeep,Grand Cherokee,2023,263,1.0
Jeep,Grand Cherokee,2024,48,0.9
Jeep,Renegade,2015,757,1.1
Jeep,Renegade,2016,621,1.1
Jeep,Renegade,2017,853,1.1
Jeep,Renegade,2018,605,1.1
Jeep,Renegade,2019,82,0.95
Jeep,Renegade,2020,72,0.95
Jeep,Renegade,2021,59,0.95
Jeep,Renegade,2022,35,0.9
Jeep,Renegade,2023,26,0.9
Jeep,Wrangler,2010,880,1.1
Jeep,Wrangler,2011,652,1.1
Jeep,Wrangler,2012,1244,1.15
Jeep,Wrangler,2013,989,1.1
Jeep,Wrangler,2014,755,1.1
Jeep,Wrangler,2015,483,1.05
Jeep,Wrangler,2016,494,1.05
Jeep,Wrangler,2017,349,1.05
Jeep,Wrangler,2018,2366,1.2
Jeep,Wrangler,2019,900,1.1
Jeep,Wrangler,2020,516,1.05
Jeep,Wrangler,2021,1099,1.15
Jeep,Wrangler,2022,363,1.05
Jeep,Wrangler,2023,300,1.0
Jeep,Wrangler,2024,24,0.9
Kia,Forte,2010,290,1.0
Kia,Forte,2011,203,1.0
Kia,Forte,2012,375,1.05
Kia,Forte,2013,256,1.0
Kia,Forte,2014,583,1.05
Kia,Forte,2015,281,1.0
Kia,Forte,2016,171,1.0
Kia,Forte,2017,351,1.05
Kia,Forte,2018,150,0.95
Kia,Forte,2019,167,1.0
Kia,Forte,2020,62,0.95
Kia,Forte,2021,74,0.95
Kia,Forte,2022,25,0.9
Kia,Forte,2023,56,0.95
Kia,Forte,2024,10,0.9
Kia,Optima,2010,93,0.95
Kia,Optima,2011,751,1.1
Kia,Optima,2012,1172,1.15
Kia,Optima,2013,1689,1.15
Kia,Optima,2014,677,1.1
Kia,Optima,2015,1186,1.15
Kia,Optima,2016,901,1.1
Kia,Optima,2017,265,1.0
Kia,Optima,2018,250,1.0
Kia,Optima,2019,204,1.0
Kia,Optima,2020,94,0.95
Kia,Sorento,2010,3,0.9
Kia,Sorento,2011,2016,1.2
Kia,Sorento,2012,1156,1.15
Kia,Sorento,2013,1231,1.15
Kia,Sorento,2014,1269,1.15
Kia,Sorento,2015,868,1.1
Kia,Sorento,2016,1392,1.15
Kia,Sorento,2017,829,1.1
Kia,Sorento,2018,241,1.0
Kia,Sorento,2019,442,1.05
Kia,Sorento,2020,86,0.95
Kia,Sorento,2021,201,1.0
Kia,Sorento,2022,175,1.0
Kia,Sorento,2023,90,0.95
Kia,Sorento,2024,6,0.9
Kia,Soul,2010,177,1.0
Kia,Soul,2011,267,1.0
Kia,Soul,2012,621,1.1
Kia,Soul,2013,790,1.1
Kia,Soul,2014,1127,1.15
Kia,Soul,2015,1096,1.15
Kia,Soul,2016,952,1.1
Kia,Soul,2017,297,1.0
Kia,Soul,2018,217,1.0
Kia,Soul,2019,111,0.95
Kia,Soul,2020,345,1.05
Kia,Soul,2021,100,0.95
Kia,Soul,2022,26,0.9
Kia,Soul,2023,58,0.95
Kia,Soul,2024,10,0.9
Kia,Sportage,2010,28,0.9
Kia,Sportage,2011,256,1.0
Kia,Sportage,2012,442,1.05
Kia,Sportage,2013,430,1.05
Kia,Sportage,2014,137,0.95
Kia,Sportage,2015,181,1.0
Kia,Sportage,2016,161,1.0
Kia,Sportage,2017,436,1.05
Kia,Sportage,2018,158,1.0
Kia,Sportage,2019,66,0.95
Kia,Sportage,2020,107,0.95
Kia,Sportage,2021,26,0.9
Kia,Sportage,2022,41,0.9
Kia,Sportage,2023,201,1.0
Kia,Sportage,2024,24,0.9
Kia,Stinger,2018,65,0.95
Kia,Stinger,2019,41,0.9
Kia,Stinger,2020,17,0.9
Kia,Stinger,2021,20,0.9
Kia,Stinger,2022,11,0.9
Kia,Stinger,2023,4,0.9
Kia,Telluride,2020,617,1.1
Kia,Telluride,2021,266,1.0
Kia,Telluride,2022,275,1.0
Kia,Telluride,2023,175,1.0
Kia,Telluride,2024,154,1.0
Lexus,ES,2010,41,0.9
Lexus,ES,2011,58,0.95
Lexus,ES,2012,29,0.9
Lexus,ES,2013,39,0.9
Lexus,ES,2015,5,0.9
Lexus,ES,2016,3,0.9
Lexus,ES,2017,1,0.9
Lexus,ES,2018,4,0.9
Lexus,ES,2019,45,0.9
Lexus,ES,2020,7,0.9
Lexus,ES,2021,14,0.9
Lexus,ES,2022,5,0.9
Lexus,ES,2023,5,0.9
Lexus,ES,2024,6,0.9
Lexus,GX,2010,9,0.9
Lexus,GX,2011,13,0.9
Lexus,GX,2012,5,0.9
Lexus,GX,2013,13,0.9
Lexus,GX,2014,18,0.9
Lexus,GX,2015,1,0.9
Lexus,GX,2016,3,0.9
Lexus,GX,2017,3,0.9
Lexus,GX,2019,9,0.9
Lexus,GX,2020,1,0.9
Lexus,GX,2021,1,0.9
Lexus,GX,2022,5,0.9
Lexus,GX,2023,4,0.9
Lexus,NX,2015,22,0.9
Lexus,NX,2016,16,0.9
Lexus,NX,2017,18,0.9
Lexus,NX,2018,13,0.9
Lexus,NX,2019,27,0.9
Lexus,NX,2020,9,0.9
Lexus,NX,2021,15,0.9
Lexus,NX,2022,20,0.9
Lexus,NX,2023,8,0.9
Lexus,NX,2024,26,0.9
Lexus,RX,2010,88,0.95
Lexus,RX,2011,31,0.9
Lexus,RX,2012,5,0.9
Lexus,RX,2013,13,0.9
Lexus,RX,2014,10,0.9
Lexus,RX,2015,19,0.9
Lexus,RX,2016,21,0.9
Lexus,RX,2017,45,0.9
Lexus,RX,2018,20,0.9
Lexus,RX,2019,53,0.95
Lexus,RX,2020,32,0.9
Lexus,RX,2021,53,0.95
Lexus,RX,2022,20,0.9
Lexus,RX,2023,37,0.9
Lexus,RX,2024,17,0.9
Lincoln,Aviator,2020,107,0.95
Lincoln,Aviator,2021,23,0.9
Lincoln,Aviator,2022,25,0.9
Lincoln,Aviator,2023,17,0.9
Lincoln,Aviator,2024,4,0.9
Lincoln,Corsair,2020,48,0.9
Lincoln,Corsair,2021,29,0.9
Lincoln,Corsair,2022,25,0.9
Lincoln,Corsair,2023,7,0.9
Lincoln,Corsair,2024,1,0.9
Lincoln,Navigator,2010,19,0.9
Lincoln,Navigator,2011,9,0.9
Lincoln,Navigator,2012,15,0.9
Lincoln,Navigator,2013,13,0.9
Lincoln,Navigator,2014,21,0.9
Lincoln,Navigator,2015,24,0.9
Lincoln,Navigator,2016,21,0.9
Lincoln,Navigator,2017,28,0.9
Lincoln,Navigator,2018,39,0.9
Lincoln,Navigator,2019,50,0.9
Lincoln,Navigator,2020,17,0.9
Lincoln,Navigator,2021,20,0.9
Lincoln,Navigator,2022,19,0.9
Lincoln,Navigator,2023,6,0.9
Lincoln,Navigator,2024,6,0.9
Mazda,CX-5,2012,1,0.9
Mazda,CX-5,2013,284,1.0
Mazda,CX-5,2014,488,1.05
Mazda,CX-5,2015,161,1.0
Mazda,CX-5,2016,564,1.05
Mazda,CX-5,2017,163,1.0
Mazda,CX-5,2018,360,1.05
Mazda,CX-5,2019,229,1.0
Mazda,CX-5,2020,85,0.95
Mazda,CX-5,2021,144,0.95
Mazda,CX-5,2022,46,0.9
Mazda,CX-5,2023,35,0.9
Mazda,CX-5,2024,19,0.9
Mazda,CX-50,2023,59,0.95
Mazda,CX-50,2024,22,0.9
Mazda,CX-9,2010,191,1.0
Mazda,CX-9,2011,202,1.0
Mazda,CX-9,2012,261,1.0
Mazda,CX-9,2013,74,0.95
Mazda,CX-9,2014,73,0.95
Mazda,CX-9,2015,44,0.9
Mazda,CX-9,2016,134,0.95
Mazda,CX-9,2017,68,0.95
Mazda,CX-9,2018,136,0.95
Mazda,CX-9,2019,58,0.95
Mazda,CX-9,2020,9,0.9
Mazda,CX-9,2021,39,0.9
Mazda,CX-9,2022,8,0.9
Mazda,CX-9,2023,7,0.9
Mazda,Mazda3,2010,904,1.1
Mazda,Mazda3,2011,176,1.0
Mazda,Mazda3,2012,320,1.05
Mazda,Mazda3,2013,175,1.0
Mazda,Mazda3,2014,161,1.0
Mazda,Mazda3,2015,141,0.95
Mazda,Mazda3,2016,127,0.95
Mazda,Mazda3,2017,89,0.95
Mazda,Mazda3,2018,113,0.95
Mazda,Mazda3,2019,108,0.95
Mazda,Mazda3,2020,44,0.9
Mazda,Mazda3,2021,53,0.95
Mazda,Mazda3,2022,25,0.9
Mazda,Mazda3,2023,15,0.9
Mazda,Mazda3,2024,11,0.9
Mercedes-Benz,GLC,2015,2,0.9
Mercedes-Benz,GLC,2016,3,0.9
Mercedes-Benz,GLC,2017,18,0.9
Mercedes-Benz,GLC,2018,1,0.9
Mercedes-Benz,GLE,2016,7,0.9
Mercedes-Benz,GLE,2017,3,0.9
Mercedes-Benz,GLE,2018,1,0.9
Mercedes-Benz,GLE,2020,1,0.9
Mitsubishi,Eclipse Cross,2018,30,0.9
Mitsubishi,Eclipse Cross,2019,19,0.9
Mitsubishi,Eclipse Cross,2020,4,0.9
Mitsubishi,Eclipse Cross,2022,5,0.9
Mitsubishi,Eclipse Cross,2023,3,0.9
Mitsubishi,Eclipse Cross,2024,3,0.9
Mitsubishi,Outlander,2010,76,0.95
Mitsubishi,Outlander,2011,80,0.95
Mitsubishi,Outlander,2012,31,0.9
Mitsubishi,Outlander,2013,33,0.9
Mitsubishi,Outlander,2014,58,0.95
Mitsubishi,Outlander,2015,76,0.95
Mitsubishi,Outlander,2016,194,1.0
Mitsubishi,Outlander,2017,73,0.95
Mitsubishi,Outlander,2018,67,0.95
Mitsubishi,Outlander,2019,35,0.9
Mitsubishi,Outlander,2020,25,0.9
Mitsubishi,Outlander,2022,252,1.0
Mitsubishi,Outlander,2023,39,0.9
Mitsubishi,Outlander,2024,7,0.9
Nissan,Altima,2010,531,1.05
Nissan,Altima,2011,310,1.05
Nissan,Altima,2012,566,1.05
Nissan,Altima,2013,2929,1.2
Nissan,Altima,2014,1338,1.15
Nissan,Altima,2015,1128,1.15
Nissan,Altima,2016,721,1.1
Nissan,Altima,2017,441,1.05
Nissan,Altima,2018,286,1.0
Nissan,Altima,2019,250,1.0
Nissan,Altima,2020,202,1.0
Nissan,Altima,2021,60,0.95
Nissan,Altima,2022,23,0.9
Nissan,Altima,2023,15,0.9
Nissan,Altima,2024,25,0.9
Nissan,Frontier,2010,73,0.95
Nissan,Frontier,2011,81,0.95
Nissan,Frontier,2012,96,0.95
Nissan,Frontier,2013,63,0.95
Nissan,Frontier,2014,48,0.9
Nissan,Frontier,2015,45,0.9
Nissan,Frontier,2016,54,0.95
Nissan,Frontier,2017,38,0.9
Nissan,Frontier,2018,23,0.9
Nissan,Frontier,2019,26,0.9
Nissan,Frontier,2020,23,0.9
Nissan,Frontier,2021,20,0.9
Nissan,Frontier,2022,148,0.95
Nissan,Frontier,2023,61,0.95
Nissan,Frontier,2024,10,0.9
Nissan,Maxima,2010,399,1.05
Nissan,Maxima,2011,137,0.95
Nissan,Maxima,2012,135,0.95
Nissan,Maxima,2013,70,0.95
Nissan,Maxima,2014,121,0.95
Nissan,Maxima,2015,2,0.9
Nissan,Maxima,2016,200,1.0
Nissan,Maxima,2017,127,0.95
Nissan,Maxima,2018,38,0.9
Nissan,Maxima,2019,18,0.9
Nissan,Maxima,2020,26,0.9
Nissan,Maxima,2021,4,0.9
Nissan,Maxima,2022,6,0.9
Nissan,Maxima,2023,2,0.9
Nissan,Murano,2010,211,1.0
Nissan,Murano,2011,187,1.0
Nissan,Murano,2012,159,1.0
Nissan,Murano,2013,84,0.95
Nissan,Murano,2014,155,1.0
Nissan,Murano,2015,243,1.0
Nissan,Murano,2016,123,0.95
Nissan,Murano,2017,138,0.95
Nissan,Murano,2018,144,0.95
Nissan,Murano,2019,47,0.9
Nissan,Murano,2020,49,0.9
Nissan,Murano,2021,11,0.9
Nissan,Murano,2022,4,0.9
Nissan,Murano,2023,4,0.9
Nissan,Murano,2024,3,0.9
Nissan,Pathfinder,2010,60,0.95
Nissan,Pathfinder,2011,55,0.95
Nissan,Pathfinder,2012,33,0.9
Nissan,Pathfinder,2013,1158,1.15
Nissan,Pathfinder,2014,696,1.1
Nissan,Pathfinder,2015,410,1.05
Nissan,Pathfinder,2016,114,0.95
Nissan,Pathfinder,2017,232,1.0
Nissan,Pathfinder,2018,102,0.95
Nissan,Pathfinder,2019,89,0.95
Nissan,Pathfinder,2020,49,0.9
Nissan,Pathfinder,2022,133,0.95
Nissan,Pathfinder,2023,88,0.95
Nissan,Pathfinder,2024,19,0.9
Nissan,Rogue,2010,420,1.05
Nissan,Rogue,2011,500,1.05
Nissan,Rogue,2012,419,1.05
Nissan,Rogue,2013,813,1.1
Nissan,Rogue,2014,590,1.05
Nissan,Rogue,2015,670,1.1
Nissan,Rogue,2016,668,1.1
Nissan,Rogue,2017,774,1.1
Nissan,Rogue,2018,893,1.1
Nissan,Rogue,2019,461,1.05
Nissan,Rogue,2020,190,1.0
Nissan,Rogue,2021,229,1.0
Nissan,Rogue,2022,139,0.95
Nissan,Rogue,2023,294,1.0
Nissan,Rogue,2024,25,0.9
Nissan,Sentra,2010,204,1.0
Nissan,Sentra,2011,197,1.0
Nissan,Sentra,2012,257,1.0
Nissan,Sentra,2013,853,1.1
Nissan,Sentra,2014,486,1.05
Nissan,Sentra,2015,460,1.05
Nissan,Sentra,2016,350,1.05
Nissan,Sentra,2017,297,1.0
Nissan,Sentra,2018,254,1.0
Nissan,Sentra,2019,319,1.05
Nissan,Sentra,2020,249,1.0
Nissan,Sentra,2021,160,1.0
Nissan,Sentra,2022,102,0.95
Nissan,Sentra,2023,15,0.9
Nissan,Sentra,2024,9,0.9
Nissan,Titan,2010,61,0.95
Nissan,Titan,2011,30,0.9
Nissan,Titan,2012,25,0.9
Nissan,Titan,2013,19,0.9
Nissan,Titan,2014,11,0.9
Nissan,Titan,2015,12,0.9
Nissan,Titan,2016,250,1.0
Nissan,Titan,2017,217,1.0
Nissan,Titan,2018,89,0.95
Nissan,Titan,2019,45,0.9
Nissan,Titan,2020,26,0.9
Nissan,Titan,2021,57,0.95
Nissan,Titan,2022,17,0.9
Nissan,Titan,2023,12,0.9
Nissan,Titan,2024,9,0.9
Ram,1500,2010,615,1.1
Ram,1500,2013,1320,1.15
Ram,1500,2014,2008,1.2
Ram,1500,2015,1630,1.15
Ram,1500,2016,1598,1.15
Ram,1500,2017,889,1.1
Ram,1500,2018,704,1.1
Ram,1500,2019,1590,1.15
Ram,1500,2020,561,1.05
Ram,1500,2021,783,1.1
Ram,1500,2022,554,1.05
Ram,1500,2023,126,0.95
Ram,1500,2024,42,0.9
Ram,2500,2010,307,1.05
Ram,2500,2013,269,1.0
Ram,2500,2014,468,1.05
Ram,2500,2015,268,1.0
Ram,2500,2016,333,1.05
Ram,2500,2017,812,1.1
Ram,2500,2018,2934,1.2
Ram,2500,2019,215,1.0
Ram,2500,2020,198,1.0
Ram,2500,2021,125,0.95
Ram,2500,2022,187,1.0
Ram,2500,2023,35,0.9
Ram,2500,2024,9,0.9
Ram,ProMaster,2014,112,0.95
Ram,ProMaster,2015,71,0.95
Ram,ProMaster,2016,43,0.9
Ram,ProMaster,2017,83,0.95
Ram,ProMaster,2018,45,0.9
Ram,ProMaster,2019,47,0.9
Ram,ProMaster,2020,20,0.9
Ram,ProMaster,2021,77,0.95
Ram,ProMaster,2022,50,0.9
Ram,ProMaster,2023,10,0.9
Subaru,Ascent,2019,517,1.05
Subaru,Ascent,2020,357,1.05
Subaru,Ascent,2021,104,0.95
Subaru,Ascent,2022,52,0.95
Subaru,Ascent,2023,39,0.9
Subaru,Ascent,2024,30,0.9
Subaru,Crosstrek,2012,3,0.9
Subaru,Crosstrek,2013,35,0.9
Subaru,Crosstrek,2014,22,0.9
Subaru,Crosstrek,2015,27,0.9
Subaru,Crosstrek,2016,157,1.0
Subaru,Crosstrek,2017,129,0.95
Subaru,Crosstrek,2018,238,1.0
Subaru,Crosstrek,2019,321,1.05
Subaru,Crosstrek,2020,64,0.95
Subaru,Crosstrek,2021,120,0.95
Subaru,Crosstrek,2022,26,0.9
Subaru,Crosstrek,2023,30,0.9
Subaru,Crosstrek,2024,56,0.95
Subaru,Forester,2010,299,1.0
Subaru,Forester,2011,194,1.0
Subaru,Forester,2012,137,0.95
Subaru,Forester,2013,92,0.95
Subaru,Forester,2014,554,1.05
Subaru,Forester,2015,844,1.1
Subaru,Forester,2016,562,1.05
Subaru,Forester,2017,700,1.1
Subaru,Forester,2018,602,1.1
Subaru,Forester,2019,1019,1.15
Subaru,Forester,2020,735,1.1
Subaru,Forester,2021,199,1.0
Subaru,Forester,2022,98,0.95
Subaru,Forester,2023,64,0.95
Subaru,Forester,2024,16,0.9
Subaru,Impreza,2010,61,0.95
Subaru,Impreza,2011,70,0.95
Subaru,Impreza,2012,324,1.05
Subaru,Impreza,2013,333,1.05
Subaru,Impreza,2014,146,0.95
Subaru,Impreza,2015,98,0.95
Subaru,Impreza,2016,101,0.95
Subaru,Impreza,2017,147,0.95
Subaru,Impreza,2018,174,1.0
Subaru,Impreza,2019,196,1.0
Subaru,Impreza,2020,87,0.95
Subaru,Impreza,2021,19,0.9
Subaru,Impreza,2022,10,0.9
Subaru,Impreza,2023,4,0.9
Subaru,Impreza,2024,13,0.9
Subaru,Legacy,2010,209,1.0
Subaru,Legacy,2011,226,1.0
Subaru,Legacy,2012,110,0.95
Subaru,Legacy,2013,83,0.95
Subaru,Legacy,2014,69,0.95
Subaru,Legacy,2015,225,1.0
Subaru,Legacy,2016,176,1.0
Subaru,Legacy,2017,132,0.95
Subaru,Legacy,2018,118,0.95
Subaru,Legacy,2019,122,0.95
Subaru,Legacy,2020,133,0.95
Subaru,Legacy,2021,35,0.9
Subaru,Legacy,2022,37,0.9
Subaru,Legacy,2023,3,0.9
Subaru,Legacy,2024,14,0.9
Subaru,Outback,2010,452,1.05
Subaru,Outback,2011,839,1.1
Subaru,Outback,2012,361,1.05
Subaru,Outback,2013,393,1.05
Subaru,Outback,2014,264,1.0
Subaru,Outback,2015,599,1.05
Subaru,Outback,2016,727,1.1
Subaru,Outback,2017,1055,1.15
Subaru,Outback,2018,905,1.1
Subaru,Outback,2019,1205,1.15
Subaru,Outback,2020,1074,1.15
Subaru,Outback,2021,359,1.05
Subaru,Outback,2022,468,1.05
Subaru,Outback,2023,104,0.95
Subaru,Outback,2024,69,0.95
Tesla,Model 3,2017,38,0.9
Tesla,Model 3,2018,1447,1.15
Tesla,Model 3,2019,885,1.1
Tesla,Model 3,2020,636,1.1
Tesla,Model 3,2021,1095,1.15
Tesla,Model 3,2022,1329,1.15
Tesla,Model 3,2023,568,1.05
Tesla,Model 3,2024,138,0.95
Tesla,Model S,2012,85,0.95
Tesla,Model S,2013,641,1.1
Tesla,Model S,2014,509,1.05
Tesla,Model S,2015,1015,1.15
Tesla,Model S,2016,957,1.1
Tesla,Model S,2017,613,1.1
Tesla,Model S,2018,243,1.0
Tesla,Model S,2019,61,0.95
Tesla,Model S,2020,107,0.95
Tesla,Model S,2021,241,1.0
Tesla,Model S,2022,158,1.0
Tesla,Model S,2023,126,0.95
Tesla,Model S,2024,50,0.9
Tesla,Model X,2016,631,1.1
Tesla,Model X,2017,381,1.05
Tesla,Model X,2018,236,1.0
Tesla,Model X,2019,139,0.95
Tesla,Model X,2020,180,1.0
Tesla,Model X,2021,42,0.9
Tesla,Model X,2022,154,1.0
Tesla,Model X,2023,204,1.0
Tesla,Model X,2024,12,0.9
Tesla,Model Y,2020,425,1.05
Tesla,Model Y,2021,1681,1.15
Tesla,Model Y,2022,1325,1.15
Tesla,Model Y,2023,1439,1.15
Tesla,Model Y,2024,313,1.05
Toyota,4Runner,2010,172,1.0
Toyota,4Runner,2011,178,1.0
Toyota,4Runner,2012,111,0.95
Toyota,4Runner,2013,41,0.9
Toyota,4Runner,2014,85,0.95
Toyota,4Runner,2015,113,0.95
Toyota,4Runner,2016,89,0.95
Toyota,4Runner,2017,42,0.9
Toyota,4Runner,2018,68,0.95
Toyota,4Runner,2019,69,0.95
Toyota,4Runner,2020,41,0.9
Toyota,4Runner,2021,43,0.9
Toyota,4Runner,2022,43,0.9
Toyota,4Runner,2023,27,0.9
Toyota,4Runner,2024,3,0.9
Toyota,Avalon,2010,49,0.9
Toyota,Avalon,2011,130,0.95
Toyota,Avalon,2012,35,0.9
Toyota,Avalon,2013,183,1.0
Toyota,Avalon,2014,122,0.95
Toyota,Avalon,2015,55,0.95
Toyota,Avalon,2016,32,0.9
Toyota,Avalon,2017,17,0.9
Toyota,Avalon,2018,29,0.9
Toyota,Avalon,2019,76,0.95
Toyota,Avalon,2020,12,0.9
Toyota,Avalon,2021,17,0.9
Toyota,Avalon,2022,5,0.9
Toyota,Camry,2010,746,1.1
Toyota,Camry,2011,751,1.1
Toyota,Camry,2012,773,1.1
Toyota,Camry,2013,366,1.05
Toyota,Camry,2014,609,1.1
Toyota,Camry,2015,350,1.05
Toyota,Camry,2016,232,1.0
Toyota,Camry,2017,188,1.0
Toyota,Camry,2018,894,1.1
Toyota,Camry,2019,423,1.05
Toyota,Camry,2020,243,1.0
Toyota,Camry,2021,124,0.95
Toyota,Camry,2022,48,0.9
Toyota,Camry,2023,43,0.9
Toyota,Camry,2024,40,0.9
Toyota,Corolla,2010,1541,1.15
Toyota,Corolla,2011,681,1.1
Toyota,Corolla,2012,493,1.05
Toyota,Corolla,2013,261,1.0
Toyota,Corolla,2014,368,1.05
Toyota,Corolla,2015,284,1.0
Toyota,Corolla,2016,293,1.0
Toyota,Corolla,2017,247,1.0
Toyota,Corolla,2018,180,1.0
Toyota,Corolla,2019,227,1.0
Toyota,Corolla,2020,294,1.0
Toyota,Corolla,2021,149,0.95
Toyota,Corolla,2022,82,0.95
Toyota,Corolla,2023,87,0.95
Toyota,Corolla,2024,35,0.9
Toyota,Highlander,2010,265,1.0
Toyota,Highlander,2011,225,1.0
Toyota,Highlander,2012,219,1.0
Toyota,Highlander,2013,271,1.0
Toyota,Highlander,2014,149,0.95
Toyota,Highlander,2015,228,1.0
Toyota,Highlander,2016,126,0.95
Toyota,Highlander,2017,300,1.0
Toyota,Highlander,2018,277,1.0
Toyota,Highlander,2019,377,1.05
Toyota,Highlander,2020,187,1.0
Toyota,Highlander,2021,279,1.0
Toyota,Highlander,2022,159,1.0
Toyota,Highlander,2023,137,0.95
Toyota,Highlander,2024,8,0.9
Toyota,RAV4,2010,484,1.05
Toyota,RAV4,2011,391,1.05
Toyota,RAV4,2012,342,1.05
Toyota,RAV4,2013,311,1.05
Toyota,RAV4,2014,244,1.0
Toyota,RAV4,2015,364,1.05
Toyota,RAV4,2016,263,1.0
Toyota,RAV4,2017,355,1.05
Toyota,RAV4,2018,355,1.05
Toyota,RAV4,2019,988,1.1
Toyota,RAV4,2020,675,1.1
Toyota,RAV4,2021,299,1.0
Toyota,RAV4,2022,104,0.95
Toyota,RAV4,2023,97,0.95
Toyota,RAV4,2024,72,0.95
Toyota,Sienna,2010,226,1.0
Toyota,Sienna,2011,794,1.1
Toyota,Sienna,2012,322,1.05
Toyota,Sienna,2013,216,1.0
Toyota,Sienna,2014,196,1.0
Toyota,Sienna,2015,262,1.0
Toyota,Sienna,2016,93,0.95
Toyota,Sienna,2017,166,1.0
Toyota,Sienna,2018,75,0.95
Toyota,Sienna,2019,50,0.9
Toyota,Sienna,2020,37,0.9
Toyota,Tacoma,2010,319,1.05
Toyota,Tacoma,2011,214,1.0
Toyota,Tacoma,2012,397,1.05
Toyota,Tacoma,2013,155,1.0
Toyota,Tacoma,2014,127,0.95
Toyota,Tacoma,2015,125,0.95
Toyota,Tacoma,2016,398,1.05
Toyota,Tacoma,2017,282,1.0
Toyota,Tacoma,2018,237,1.0
Toyota,Tacoma,2019,267,1.0
Toyota,Tacoma,2020,96,0.95
Toyota,Tacoma,2021,86,0.95
Toyota,Tacoma,2022,53,0.95
Toyota,Tacoma,2023,37,0.9
Toyota,Tacoma,2024,68,0.95
Toyota,Tundra,2010,208,1.0
Toyota,Tundra,2011,181,1.0
Toyota,Tundra,2012,211,1.0
Toyota,Tundra,2013,102,0.95
Toyota,Tundra,2014,103,0.95
Toyota,Tundra,2015,50,0.9
Toyota,Tundra,2016,142,0.95
Toyota,Tundra,2017,97,0.95
Toyota,Tundra,2018,132,0.95
Toyota,Tundra,2019,83,0.95
Toyota,Tundra,2020,45,0.9
Toyota,Tundra,2021,24,0.9
Toyota,Tundra,2022,319,1.05
Toyota,Tundra,2023,225,1.0
Toyota,Tundra,2024,82,0.95
Volkswagen,Atlas,2018,589,1.05
Volkswagen,Atlas,2019,575,1.05
Volkswagen,Atlas,2020,37,0.9
Volkswagen,Atlas,2021,532,1.05
Volkswagen,Atlas,2022,164,1.0
Volkswagen,Atlas,2023,96,0.95
Volkswagen,Atlas,2024,78,0.95
Volkswagen,Jetta,2010,1171,1.15
Volkswagen,Jetta,2011,875,1.1
Volkswagen,Jetta,2012,683,1.1
Volkswagen,Jetta,2013,719,1.1
Volkswagen,Jetta,2014,533,1.05
Volkswagen,Jetta,2015,265,1.0
Volkswagen,Jetta,2016,232,1.0
Volkswagen,Jetta,2017,214,1.0
Volkswagen,Jetta,2018,26,0.9
Volkswagen,Jetta,2019,685,1.1
Volkswagen,Jetta,2020,66,0.95
Volkswagen,Jetta,2021,72,0.95
Volkswagen,Jetta,2022,41,0.9
Volkswagen,Jetta,2023,42,0.9
Volkswagen,Jetta,2024,13,0.9
Volkswagen,Passat,2010,223,1.0
Volkswagen,Passat,2011,24,0.9
Volkswagen,Passat,2012,635,1.1
Volkswagen,Passat,2013,952,1.1
Volkswagen,Passat,2014,726,1.1
Volkswagen,Passat,2015,365,1.05
Volkswagen,Passat,2016,160,1.0
Volkswagen,Passat,2017,158,1.0
Volkswagen,Passat,2018,51,0.95
Volkswagen,Passat,2019,17,0.9
Volkswagen,Passat,2020,17,0.9
Volkswagen,Passat,2021,17,0.9
Volkswagen,Passat,2022,13,0.9
Volkswagen,Tiguan,2010,157,1.0
Volkswagen,Tiguan,2011,237,1.0
Volkswagen,Tiguan,2012,209,1.0
Volkswagen,Tiguan,2013,202,1.0
